,open,high,low,close,volume,marketCap,date
0,1.4856300354,1.557019949,1.4171299934,1.5243799686,2745280,0.0,2017-05-18
1,1.4993200302,1.5589799881,1.28816998,1.3307700157,1655390,36897815.3128,2017-05-19
2,1.3278900385,1.4701800346,1.3010699749,1.434030056,1272560,48190817.633,2017-05-20
3,1.4522900581,1.499729991,1.325600028,1.4101799726,1152680,47389334.4001,2017-05-21
4,1.4003299475,1.611700058,1.202739954,1.5360399485,1358470,51618880.7187,2017-05-22
5,1.4715600014,2.1057500839,1.4715600014,2.1057500839,2436560,70764080.4102,2017-05-23
6,2.0906999111,2.6468100548,2.0906999111,2.6468100548,3619740,88946492.0673,2017-05-24
7,2.6127099991,2.6827800274,1.9713100195,2.108700037,1535420,70863215.6529,2017-05-25
8,2.0908501148,2.5009698868,1.718930006,1.9615600109,1150820,65918551.3805,2017-05-26
9,1.974750042,2.0560400486,1.4359999895,1.7245700359,713711,57954462.8532,2017-05-27
10,1.7354400158,2.0245599747,1.64368999,1.8449300528,801602,61999180.7533,2017-05-28
11,1.6370600462,1.8674000502,1.6370600462,1.8299000263,653050,61494095.0933,2017-05-29
12,1.8269799948,2.1521100998,1.7340899706,1.8443800211,1345200,61980697.9115,2017-05-30
13,1.8437099457,2.1094999313,1.7309499979,2.0903201103,1365970,70245552.6834,2017-05-31
14,2.0882599354,2.1939001083,1.9898099899,2.0874199867,630982,70148097.6991,2017-06-01
15,2.0889599323,2.2134399414,2.0393600464,2.1554999352,759428,72435937.4685,2017-06-02
16,2.1502199173,2.3172500134,2.1423900127,2.2162299156,963743,74476779.2604,2017-06-03
17,2.2118299007,2.2655100822,2.0164299011,2.1043999195,1065030,70718713.4348,2017-06-04
18,2.1040899754,2.2469599247,2.0745699406,2.2155199051,973493,74452919.5918,2017-06-05
19,2.2364499569,2.5933699608,2.190969944,2.4449999332,1266720,82164633.315,2017-06-06
20,2.4043200016,2.8638598919,2.3190000057,2.5675399303,1762630,86282610.4792,2017-06-07
21,2.5457398891,3.1817700863,2.5230600834,3.1323699951,3743020,105263816.956,2017-06-08
22,3.1595900059,3.3476500511,2.9156000614,3.2996199131,1877340,110884281.137,2017-06-09
23,3.3053600788,4.0025000572,3.0894100666,4.0025000572,2275360,134504680.918,2017-06-10
24,4.0416297913,4.2813901901,3.5662600994,4.1603999138,3049210,139810936.787,2017-06-11
25,4.1087098122,4.3554301262,3.4060599804,3.734349966,2292920,125493455.386,2017-06-12
26,3.7257199287,3.9260599613,3.5438899994,3.898430109,1369980,131007391.188,2017-06-13
27,3.8963899612,3.9746000767,2.8825800419,3.1551699638,1610150,106030014.763,2017-06-14
