,score,#nodes,xmin,alpha,date
0,352.48570614284915,994,2.0,12.17069435435016,2017-05-17
1,137.15487159261704,1782,3.0,5.306434810195987,2017-05-18
2,175.75370825076578,2147,3.0,5.177485713551192,2017-05-19
3,209.5633710257656,2510,3.0,4.525638861702786,2017-05-20
4,238.2191497037874,2723,3.0,4.714852996164906,2017-05-21
5,272.10641009320665,2915,3.0,4.915881356894229,2017-05-22
6,287.8756894544685,3145,3.0,4.586912355733076,2017-05-23
7,1232.2390063335451,2775,2.0,9.191477958562778,2017-05-24
8,949.0617825301085,2318,2.0,8.788326631969234,2017-05-25
9,889.1183673647497,2208,2.0,8.589375006920005,2017-05-26
10,810.7441782065094,1984,2.0,9.250639750307563,2017-05-27
11,769.7232624522454,1912,2.0,8.81694298535956,2017-05-28
12,699.8181178757924,1876,2.0,8.291618981320777,2017-05-29
13,909.1110293485632,1833,2.0,9.911072364083118,2017-05-30
14,781.2457590766109,1629,2.0,8.926525054001257,2017-05-31
15,748.8555693268686,1523,2.0,9.243906330690432,2017-06-01
16,687.4786237507669,1444,2.0,8.999255168785627,2017-06-02
17,684.8240603104309,1493,2.0,8.62213879297216,2017-06-03
18,775.9444803821652,1572,2.0,8.819745079579771,2017-06-04
19,774.895268944088,1599,2.0,8.83137692649462,2017-06-05
20,768.073684841718,1563,2.0,8.584653167564872,2017-06-06
21,847.8793203221869,1576,2.0,8.148891371067915,2017-06-07
22,856.8231438235214,1760,2.0,7.2261037930899406,2017-06-08
23,1184.892940133804,1851,2.0,9.002130159514385,2017-06-09
24,1264.178561063045,1930,2.0,9.229784985913007,2017-06-10
25,1276.8856880156945,2019,2.0,9.597994055071526,2017-06-11
26,1529.4530392801817,2140,2.0,10.75898695560587,2017-06-12
27,1480.6444551211498,2135,2.0,10.602535775226785,2017-06-13
28,1311.4712824191538,2134,2.0,10.425479220056546,2017-06-14
29,1176.8213705855594,2046,2.0,10.781377455286282,2017-06-15
30,1165.3381164329833,1897,2.0,11.294037089982549,2017-06-16
31,1016.8624728868067,1855,2.0,9.934843436987643,2017-06-17
32,865.6971682557627,1717,2.0,8.888417785946412,2017-06-18
33,652.7749036028006,1579,2.0,7.873228835815168,2017-06-19
34,710.3630088890458,1476,2.0,8.965674307708255,2017-06-20
35,638.9076100681758,1368,2.0,8.706885733118453,2017-06-21
36,655.8704099414732,1359,2.0,8.983673410260213,2017-06-22
37,632.8240661142468,1333,2.0,8.768493855347831,2017-06-23
38,618.0673995208485,1299,2.0,8.737957891506065,2017-06-24
39,571.413671048603,1330,2.0,8.708625157044214,2017-06-25
40,576.9216095515989,1325,2.0,8.136324437586959,2017-06-26
41,546.1380949108119,1302,2.0,7.905987392791302,2017-06-27
42,578.0839710505081,1359,2.0,7.638834321671676,2017-06-28
43,553.4159673387987,1293,2.0,7.451584541596331,2017-06-29
44,525.3936374419593,1250,2.0,7.432572826400332,2017-06-30
45,561.6047914897983,1223,2.0,8.28279437942803,2017-07-01
46,525.8652651495543,1214,2.0,8.044589227622087,2017-07-02
47,464.21512223881615,1107,2.0,7.624487633855358,2017-07-03
48,419.7481884626096,1090,2.0,7.198196511684107,2017-07-04
49,362.5639775408662,1005,2.0,7.1633994134486,2017-07-05
50,322.30506698346886,953,2.0,6.500620399424837,2017-07-06
51,356.4436121894375,1048,2.0,6.029468956015396,2017-07-07
52,360.88540822817635,1105,2.0,6.0889607412273845,2017-07-08
53,366.70225290968455,1150,2.0,6.061323232837235,2017-07-09
54,484.70121916661003,1335,2.0,6.850801169952822,2017-07-10
55,738.0830575923495,1727,2.0,7.788379109796268,2017-07-11
56,936.2155345240176,2019,2.0,8.550104582435361,2017-07-12
57,93.1984069665028,2219,3.0,2.378767188395585,2017-07-13
