,score,#nodes,xmin,alpha,window_start,window_end
0,1.1394174223483762,5,1.0,8.213475204444817,2017-09-10,2017-09-12
1,0.0,4,,,2017-09-11,2017-09-13
2,0.0,12,,,2017-09-12,2017-09-14
3,0.0,16,,,2017-09-13,2017-09-15
4,0.0,20,,,2017-09-14,2017-09-16
5,0.0,14,,,2017-09-15,2017-09-17
6,12.867830880961648,37,1.0,54.37971651289165,2017-09-16,2017-09-18
7,17.752134830333446,56,1.0,21.19773057244549,2017-09-17,2017-09-19
8,23.28970729966173,73,1.0,22.063347596978865,2017-09-18,2017-09-20
9,28.09060068555321,69,1.0,22.711400650644617,2017-09-19,2017-09-21
10,34.85860611586157,97,1.0,140.94141896622946,2017-09-20,2017-09-22
11,47.47956005805149,139,1.0,41.10692213671318,2017-09-21,2017-09-23
12,59.207973516665,171,1.0,50.34017039840255,2017-09-22,2017-09-24
13,62.95286004390337,185,1.0,39.12836893777975,2017-09-23,2017-09-25
14,54.8895757909994,163,1.0,34.594184523557296,2017-09-24,2017-09-26
15,52.673082109790144,138,1.0,27.248239938397568,2017-09-25,2017-09-27
16,45.11093344839704,91,1.0,51.7880670161635,2017-09-26,2017-09-28
17,0.0,58,,,2017-09-27,2017-09-29
18,0.0,38,,,2017-09-28,2017-09-30
19,0.0,32,,,2017-09-29,2017-10-01
20,0.0,28,,,2017-09-30,2017-10-02
21,0.0,26,,,2017-10-01,2017-10-03
22,0.0,20,,,2017-10-02,2017-10-04
23,0.0,16,,,2017-10-03,2017-10-05
24,0.0,14,,,2017-10-04,2017-10-06
25,0.0,18,,,2017-10-05,2017-10-07
26,0.0,20,,,2017-10-06,2017-10-08
27,7.0036241516550035,21,1.0,31.296595858668233,2017-10-07,2017-10-09
28,10.668753357471635,31,1.0,45.723546267557865,2017-10-08,2017-10-10
29,16.612717407985023,51,1.0,25.52581569511238,2017-10-09,2017-10-11
30,84.06222048119095,1861,4.0,3.587539155178694,2017-10-10,2017-10-12
31,147.22097631652247,2946,4.0,4.061671810484573,2017-10-11,2017-10-13
32,167.88925835525157,3501,4.0,3.8147445085029332,2017-10-12,2017-10-14
33,63.67452568508901,2243,4.0,3.6139107618340516,2017-10-13,2017-10-15
34,163.5016002311768,1368,2.0,4.457063867789593,2017-10-14,2017-10-16
35,118.00398741143783,996,2.0,4.752111235510942,2017-10-15,2017-10-17
36,167.88541416331506,1024,2.0,5.499148340531734,2017-10-16,2017-10-18
37,349.2965686850923,1037,2.0,8.363114447127945,2017-10-17,2017-10-19
38,551.7102407407968,992,2.0,11.652093450168373,2017-10-18,2017-10-20
39,413.1143882838376,867,2.0,8.334368446843714,2017-10-19,2017-10-21
40,299.99789220559296,721,2.0,7.538995754292847,2017-10-20,2017-10-22
41,205.14887705256865,560,2.0,8.044827257624455,2017-10-21,2017-10-23
42,138.74146082831783,581,2.0,6.085872801754141,2017-10-22,2017-10-24
43,92.2274179622318,571,2.0,5.3961150566527465,2017-10-23,2017-10-25
44,92.00607147609358,591,2.0,4.975282128985432,2017-10-24,2017-10-26
45,52.52819394889788,457,2.0,4.740281292711936,2017-10-25,2017-10-27
46,336.8642425294548,350,1.0,9.984547693889365,2017-10-26,2017-10-28
47,33.68909300348474,302,2.0,5.101320481831459,2017-10-27,2017-10-29
48,50.882913117546835,376,2.0,4.334453521481162,2017-10-28,2017-10-30
49,159.42418955842086,561,2.0,5.550273414252884,2017-10-29,2017-10-31
50,181.14832902531808,616,2.0,5.463282858753741,2017-10-30,2017-11-01
51,164.26616701119056,622,2.0,4.965175335367654,2017-10-31,2017-11-02
52,113.72183605454052,459,2.0,4.9366003851819045,2017-11-01,2017-11-03
53,147.91247367106217,417,2.0,6.824858445050985,2017-11-02,2017-11-04
54,132.6405558065291,323,2.0,7.720743361952272,2017-11-03,2017-11-05
55,133.08686828770354,290,2.0,9.23293030852702,2017-11-04,2017-11-06
56,82.11314782858564,284,2.0,6.44055079467908,2017-11-05,2017-11-07
57,81.23250907323006,324,2.0,7.569503908939127,2017-11-06,2017-11-08
58,82.10624028028437,502,2.0,6.416634435933506,2017-11-07,2017-11-09
59,200.49227921600257,588,2.0,9.679894768041008,2017-11-08,2017-11-10
60,321.205218026102,583,2.0,11.24511950562618,2017-11-09,2017-11-11
61,239.59605621893905,517,2.0,8.639746360133152,2017-11-10,2017-11-12
62,133.4243221985501,385,2.0,6.351712770464828,2017-11-11,2017-11-13
63,111.39924495390224,338,2.0,7.2121155894690405,2017-11-12,2017-11-14
64,134.91147991851244,320,2.0,8.68765454321542,2017-11-13,2017-11-15
65,181.3543090312134,343,2.0,10.897081510735818,2017-11-14,2017-11-16
66,150.2463534072305,367,2.0,7.313105961966026,2017-11-15,2017-11-17
67,9.214230042775043,388,3.0,2.255132072905009,2017-11-16,2017-11-18
68,124.60025258399013,366,2.0,6.428121312590428,2017-11-17,2017-11-19
69,107.40928557080024,375,2.0,6.83738584584203,2017-11-18,2017-11-20
70,75.37653268239941,412,2.0,6.088665797566485,2017-11-19,2017-11-21
71,156.49650462062883,440,2.0,7.424398685584937,2017-11-20,2017-11-22
72,242.8640863251042,584,2.0,7.972803769261012,2017-11-21,2017-11-23
73,276.0003145754675,633,2.0,8.127921037551793,2017-11-22,2017-11-24
74,210.82849197043848,608,2.0,7.9133805892473355,2017-11-23,2017-11-25
75,96.83006585537126,463,2.0,6.222202301883465,2017-11-24,2017-11-26
76,162.77743578921425,429,2.0,7.817473333929281,2017-11-25,2017-11-27
77,145.94502704546557,460,2.0,6.999232323937061,2017-11-26,2017-11-28
78,181.30391332290046,533,2.0,6.826597632166495,2017-11-27,2017-11-29
79,186.4628823058498,479,2.0,7.629873402547926,2017-11-28,2017-11-30
80,152.66867723961508,471,2.0,7.2087242099588025,2017-11-29,2017-12-01
81,80.9886101023219,392,2.0,5.629065730729543,2017-11-30,2017-12-02
82,38.829165958673144,348,2.0,4.534139019484151,2017-12-01,2017-12-03
83,30.761802534452556,259,2.0,4.729525948256276,2017-12-02,2017-12-04
84,28.781623544662615,223,2.0,5.664588082057686,2017-12-03,2017-12-05
85,150.3481174379071,150,1.0,15.589487006691764,2017-12-04,2017-12-06
86,126.00236526235349,179,1.0,17.70452178900273,2017-12-05,2017-12-07
87,139.5739328162485,182,1.0,19.785521852526767,2017-12-06,2017-12-08
88,184.18600380661985,234,1.0,20.335717619103473,2017-12-07,2017-12-09
89,428.4682093614646,325,1.0,16.96466859115189,2017-12-08,2017-12-10
90,2318.180827385093,2539,2.0,19.462587284931644,2017-12-09,2017-12-11
91,306.11115198043456,2801,3.0,5.816907048863141,2017-12-10,2017-12-12
92,308.66143284588776,2961,3.0,5.285422496934709,2017-12-11,2017-12-13
93,824.3156379983341,1143,2.0,13.079775798545185,2017-12-12,2017-12-14
94,608.4357728174411,928,2.0,12.880678408337559,2017-12-13,2017-12-15
95,550.8752479940583,920,2.0,12.760334422806348,2017-12-14,2017-12-16
96,730.5949930920365,1337,2.0,10.881856431672093,2017-12-15,2017-12-17
97,1444.3622687220823,2075,2.0,14.675252197082827,2017-12-16,2017-12-18
98,2288.8806420489827,3004,2.0,17.034278094298408,2017-12-17,2017-12-19
99,2213.312305154989,2853,2.0,19.60011733094218,2017-12-18,2017-12-20
100,1607.43737298439,2241,2.0,19.652691143495492,2017-12-19,2017-12-21
101,657.0076226097062,1211,2.0,12.82987655239485,2017-12-20,2017-12-22
102,421.3327080186757,1044,2.0,9.377201589136162,2017-12-21,2017-12-23
103,304.6530794238995,849,2.0,8.117619838619808,2017-12-22,2017-12-24
104,272.61831807474675,693,2.0,9.202549560034013,2017-12-23,2017-12-25
105,294.2595275758813,654,2.0,10.092671274372366,2017-12-24,2017-12-26
106,315.4617512632668,677,2.0,10.786406545642208,2017-12-25,2017-12-27
107,324.45973924854883,729,2.0,10.52902456132905,2017-12-26,2017-12-28
108,419.83623537595395,888,2.0,10.70605277492127,2017-12-27,2017-12-29
109,527.5152058032043,1068,2.0,10.742715225258829,2017-12-28,2017-12-30
110,521.9957255288924,1090,2.0,10.780942450118788,2017-12-29,2017-12-31
111,428.66625279110735,952,2.0,11.196774731735195,2017-12-30,2018-01-01
112,333.9579552689933,883,2.0,9.812628296688963,2017-12-31,2018-01-02
113,433.72157183800874,969,2.0,11.666434167337865,2018-01-01,2018-01-03
114,611.9589364282627,1250,2.0,13.061886171331528,2018-01-02,2018-01-04
115,641.531387026994,1382,2.0,15.332811284912612,2018-01-03,2018-01-05
116,590.9304989097958,1415,2.0,13.588308862357977,2018-01-04,2018-01-06
117,505.680256657057,1339,2.0,11.22442146630612,2018-01-05,2018-01-07
118,396.4698063022512,1253,2.0,7.64491957189098,2018-01-06,2018-01-08
119,462.69950707558576,1240,2.0,7.736767530447314,2018-01-07,2018-01-09
120,371.7963811922207,1089,2.0,6.785048674935245,2018-01-08,2018-01-10
121,319.6909069626181,1038,2.0,6.550300566752301,2018-01-09,2018-01-11
122,267.35498390914313,932,2.0,6.248393582714483,2018-01-10,2018-01-12
123,282.4125346429448,978,2.0,6.619905579679887,2018-01-11,2018-01-13
124,291.80804146037696,1009,2.0,6.050876794511485,2018-01-12,2018-01-14
125,275.8912563136349,982,2.0,5.774857490045735,2018-01-13,2018-01-15
126,258.8331094417263,943,2.0,5.434217334872274,2018-01-14,2018-01-16
127,244.48886096677208,858,2.0,5.412780569591758,2018-01-15,2018-01-17
128,364.9120714905209,1321,2.0,6.539779910607102,2018-01-16,2018-01-18
129,1221.3436666533203,3260,2.0,9.50297015740805,2018-01-17,2018-01-19
130,1877.5049715823357,3840,2.0,10.706114591832918,2018-01-18,2018-01-20
131,2723.8795181086407,3936,2.0,13.130380059329399,2018-01-19,2018-01-21
132,2036.7310811161824,3273,2.0,12.461639760672833,2018-01-20,2018-01-22
133,2001.0179178839205,3367,2.0,11.459078907253229,2018-01-21,2018-01-23
134,1904.6196897382022,3144,2.0,11.477534681362194,2018-01-22,2018-01-24
135,1552.5431005002602,2542,2.0,9.060753516362528,2018-01-23,2018-01-25
136,1229.3596754646442,2046,2.0,8.545961751459803,2018-01-24,2018-01-26
137,1157.772619950241,1899,2.0,8.824147855875946,2018-01-25,2018-01-27
138,993.1687009305303,1685,2.0,9.34399705875656,2018-01-26,2018-01-28
139,873.9331275848525,1659,2.0,8.361838186626576,2018-01-27,2018-01-29
140,780.0527604558723,1574,2.0,7.7767762346158875,2018-01-28,2018-01-30
141,651.1352506764596,1387,2.0,7.378942590264813,2018-01-29,2018-01-31
142,560.0745861902762,1286,2.0,7.505658245194398,2018-01-30,2018-02-01
