,open,high,low,close,volume,marketCap,date
0,0.0199583992,0.0226354003,0.0195661001,0.0225811005,971989.0,32651741.9838,2017-10-13
1,0.0226918999,0.0352679007,0.0198328998,0.0212980993,237228.0,30796554.0184,2017-10-14
2,0.0213674996,0.0269384999,0.0177119002,0.0187065993,128373.0,27049305.6846,2017-10-15
3,0.0190690998,0.0209602006,0.0178858992,0.0186512005,76915.4,26969198.5815,2017-10-16
4,0.0192588009,0.0264293998,0.0179086998,0.0212623999,88613.5,30744932.6542,2017-10-17
5,0.0212524999,0.0247987993,0.0175970998,0.0186902005,140943.0,27025591.6685,2017-10-18
6,0.0186687,0.0205780994,0.0162371006,0.0176104996,134065.0,25464370.744,2017-10-19
7,0.0177912004,0.0183221009,0.0152772004,0.0158006996,112202.0,22847442.3108,2017-10-20
8,0.0158543997,0.0163431,0.0129792001,0.0143541005,196356.0,20755692.5752,2017-10-21
9,0.0143331001,0.0166008994,0.0133264,0.0144400001,165991.0,20879901.9643,2017-10-22
10,0.0147086997,0.0148470001,0.0129682003,0.0141586,150236.0,20473004.1518,2017-10-23
11,0.0140783004,0.0155317998,0.0135115003,0.0138478,208404.0,20023594.6275,2017-10-24
12,0.0138573004,0.0148398997,0.0114578996,0.0117990999,138432.0,17061222.3869,2017-10-25
13,0.0118669998,0.0132232001,0.0104871998,0.0114652002,113031.0,16578410.8034,2017-10-26
14,0.0118607003,0.0132231005,0.0113287997,0.0120772999,127953.0,17463493.0744,2017-10-27
15,0.0121424003,0.0123717999,0.0110905999,0.0117798001,107873.0,17033315.0387,2017-10-28
16,0.0116122998,0.0140832001,0.0114588998,0.0128314998,136432.0,18554048.6188,2017-10-29
17,0.0127825998,0.0142360004,0.0101421,0.0106698005,146030.0,15428281.0235,2017-10-30
18,0.0106574995,0.0115301004,0.00968004018068,0.0104237003,136449.0,15072426.1846,2017-10-31
19,0.0102752,0.0104109999,0.00819655042142,0.00896606966853,133274.0,12964727.3272,2017-11-01
20,0.00891492981464,0.00891492981464,0.00625880993903,0.00814703013748,147800.0,11780414.6607,2017-11-02
21,0.00793084967881,0.0101212002,0.00770014990121,0.00995726045221,168679.0,14397964.8638,2017-11-03
22,0.0100063998,0.0126521001,0.0100063998,0.0118097002,176757.0,17076549.7388,2017-11-04
23,0.0117846997,0.0120481998,0.00954593997449,0.0109452,140319.0,15826502.9764,2017-11-05
24,0.0104088001,0.0108498996,0.00954376999289,0.00989034958184,117849.0,14301214.5701,2017-11-06
25,0.00989043992013,0.0111632999,0.00944358017296,0.0109836003,156970.0,15882028.4775,2017-11-07
26,0.0108663999,0.0120123997,0.0105688004,0.0119430004,156915.0,17269298.4183,2017-11-08
27,0.0118942996,0.0176411998,0.0116446996,0.0164650008,302871.0,23808004.5597,2017-11-09
28,0.0164764002,0.0176570006,0.0145450002,0.0148305995,247869.0,21444700.4205,2017-11-10
29,0.0148181003,0.0176203996,0.0143135004,0.0170651004,209109.0,24675735.1116,2017-11-11
30,0.0164023992,0.0168827008,0.0133969998,0.0149958003,193003.0,21683575.7532,2017-11-12
31,0.0150336996,0.0161192007,0.0123023,0.0143109998,199984.0,20693370.9842,2017-11-13
32,0.0143207004,0.0149309998,0.0131761003,0.0143585997,149013.0,20762199.4699,2017-11-14
33,0.0143608004,0.0160151999,0.0139204999,0.0156478006,199700.0,22626352.4901,2017-11-15
34,0.0158830006,0.0174576007,0.0150945,0.0157373995,160693.0,22755911.9926,2017-11-16
35,0.0153099,0.0164262,0.0144210001,0.0146599999,144547.0,21198016.8142,2017-11-17
36,0.0146281002,0.0152837001,0.0130939996,0.0139539,189844.0,20177012.7438,2017-11-18
37,0.0139392996,0.0155862998,0.0133774001,0.0153270997,157812.0,22162627.7976,2017-11-19
38,0.0153155997,0.0164884999,0.0141684003,0.0152452998,237922.0,22044346.9125,2017-11-20
39,0.0150536997,0.0171639007,0.0144753,0.0170271005,221558.0,24620788.0012,2017-11-21
40,0.0155167999,0.0179006997,0.0145907998,0.0164858997,294242.0,23838225.4705,2017-11-22
41,0.0168465003,0.0220237002,0.0160868,0.0206174999,598817.0,29812422.3511,2017-11-23
42,0.0205716994,0.0225984007,0.0189973991,0.0219237003,434963.0,31701156.9734,2017-11-24
43,0.0219099,0.0232688002,0.0201634001,0.0210597999,432424.0,30451977.797,2017-11-25
44,0.0204978008,0.0212475006,0.0184269007,0.0190609992,403314.0,27561759.7882,2017-11-26
45,0.0192123,0.0221053995,0.0183326006,0.0211880002,412421.0,30637351.9958,2017-11-27
46,0.0211613998,0.0214721002,0.0183266997,0.0197224002,264435.0,28518128.7051,2017-11-28
47,0.0197292008,0.0212274007,0.0168117005,0.0179443993,370308.0,25947182.3275,2017-11-29
48,0.0179862007,0.0218698997,0.0169559997,0.0215491001,411999.0,31159494.1426,2017-11-30
49,0.0215090998,0.0217904001,0.0190540999,0.0217904001,398296.0,31508408.2939,2017-12-01
50,0.0218030997,0.0231270008,0.0203320999,0.0216211006,369107.0,31263604.4571,2017-12-02
51,0.0218314007,0.0226045996,0.0199519005,0.0203299001,358732.0,29396559.4837,2017-12-03
52,0.0205847993,0.0211986993,0.0193987992,0.0208666995,308025.0,30172759.7174,2017-12-04
53,0.0210624002,0.0214326996,0.0197758991,0.0210008994,295760.0,30366809.7758,2017-12-05
54,0.0211036,0.0212741997,0.0189456996,0.0198149998,302349.0,28652026.1373,2017-12-06
55,0.0197813995,0.0217032004,0.0169727001,0.0187411997,363451.0,27099336.4746,2017-12-07
56,0.0192300007,0.0211063996,0.0173755009,0.0204412006,390579.0,29557496.6782,2017-12-08
57,0.0199810006,0.0223682001,0.0197860003,0.0205818005,346460.0,29760800.9868,2017-12-09
58,0.0203651004,0.0206483994,0.0181635004,0.0190964006,344944.0,27612947.3595,2017-12-10
59,0.0190701,0.0303249992,0.0187989008,0.0237597004,10865700.0,34355969.9932,2017-12-11
60,0.0235984996,0.0253206007,0.0190708004,0.0200325996,9211280.0,28966670.6434,2017-12-12
61,0.0203245003,0.0209314004,0.0145600997,0.0176764,7727030.0,25559660.6013,2017-12-13
62,0.0176545996,0.0223217998,0.0161732007,0.0202172995,8760460.0,29233742.5196,2017-12-14
