,score,#nodes,xmin,alpha,window_start,window_end
0,352.48570614284915,994,2.0,12.17069435435016,2017-05-17,2017-05-17
1,292.3322738225104,917,2.0,8.889134188890228,2017-05-18,2017-05-18
2,137.26319868420853,479,2.0,6.869698263730294,2017-05-19,2017-05-19
3,962.7664754187996,467,1.0,12.657813455101612,2017-05-20,2017-05-20
4,88.08279145996612,310,2.0,6.552929080964145,2017-05-21,2017-05-21
5,97.36469562951027,323,2.0,6.446527278587351,2017-05-22,2017-05-22
6,661.9809323360826,356,1.0,12.252801387728818,2017-05-23,2017-05-23
7,142.2204922401105,595,2.0,5.316960931844229,2017-05-24,2017-05-24
8,73.12995448820263,356,2.0,4.578060124941151,2017-05-25,2017-05-25
9,87.47652867807281,336,2.0,4.803766655089943,2017-05-26,2017-05-26
10,358.1431905963844,215,1.0,9.899071564151017,2017-05-27,2017-05-27
11,36.90734151918718,213,2.0,3.6076573931781146,2017-05-28,2017-05-28
12,390.807500224484,243,1.0,9.481004949390828,2017-05-29,2017-05-29
13,104.5864510424732,344,2.0,5.395197546390353,2017-05-30,2017-05-30
14,84.48816094662567,318,2.0,5.56725451276625,2017-05-31,2017-05-31
15,377.3873346608939,231,1.0,9.996623505935977,2017-06-01,2017-06-01
16,353.39049658873864,227,1.0,9.167963252921137,2017-06-02,2017-06-02
17,43.73778838599761,252,2.0,3.751406343456948,2017-06-03,2017-06-03
18,125.48964049979614,295,2.0,5.635996149817921,2017-06-04,2017-06-04
19,48.07835657862945,258,2.0,4.097348394589963,2017-06-05,2017-06-05
20,114.35938814038252,308,2.0,5.590484176972754,2017-06-06,2017-06-06
21,147.1485522969296,339,2.0,5.2736248142409545,2017-06-07,2017-06-07
22,839.4335142570337,451,1.0,10.988305408083558,2017-06-08,2017-06-08
23,882.7918249594944,434,1.0,11.433664300449466,2017-06-09,2017-06-09
24,107.23945421900731,329,2.0,5.3204713193486475,2017-06-10,2017-06-10
25,101.51119827490433,426,2.0,4.879482917739638,2017-06-11,2017-06-11
26,199.70109133936285,411,2.0,7.673816263870788,2017-06-12,2017-06-12
27,86.80548729039519,293,2.0,4.917445251150233,2017-06-13,2017-06-13
28,562.1284248539171,326,1.0,11.378274917836048,2017-06-14,2017-06-14
29,69.81136112160112,268,2.0,4.600537087352704,2017-06-15,2017-06-15
30,70.37774522384629,251,2.0,4.709102800565452,2017-06-16,2017-06-16
31,399.59971156852544,247,1.0,8.128982379225665,2017-06-17,2017-06-17
32,320.57011439814016,230,1.0,7.313873300513854,2017-06-18,2017-06-18
33,367.35198239193664,243,1.0,10.62624808770233,2017-06-19,2017-06-19
34,333.26939571764814,209,1.0,9.041000768884606,2017-06-20,2017-06-20
35,202.0525920524437,172,1.0,10.650041914020884,2017-06-21,2017-06-21
36,506.30788884368,277,1.0,11.91531273086113,2017-06-22,2017-06-22
37,54.83267169903479,231,2.0,4.517388177070251,2017-06-23,2017-06-23
38,32.33174252654962,203,2.0,3.587529107110891,2017-06-24,2017-06-24
39,59.81401677261064,207,2.0,4.710082418054592,2017-06-25,2017-06-25
40,48.41296573701716,264,2.0,4.139042541574668,2017-06-26,2017-06-26
41,38.99130319625603,174,2.0,4.353899860768754,2017-06-27,2017-06-27
42,52.27519378465712,239,2.0,4.008218887135195,2017-06-28,2017-06-28
43,42.00321418807406,208,2.0,3.7946749114658638,2017-06-29,2017-06-29
44,248.12847176799258,188,1.0,8.703634419638126,2017-06-30,2017-06-30
45,35.51646313053341,164,2.0,3.7557068606465416,2017-07-01,2017-07-01
46,37.824628435061946,175,2.0,3.9926429953937954,2017-07-02,2017-07-02
47,180.3524691681823,128,1.0,8.48306439636282,2017-07-03,2017-07-03
48,182.15327761497903,146,1.0,8.626440616717456,2017-07-04,2017-07-04
49,189.78218832732213,134,1.0,7.8057306515319205,2017-07-05,2017-07-05
50,23.356012732281286,150,2.0,3.3645079180223556,2017-07-06,2017-07-06
51,6.866403018709824,289,3.0,1.928016137444325,2017-07-07,2017-07-07
52,463.54331235811225,236,1.0,11.40534186709427,2017-07-08,2017-07-08
