,score,#nodes,xmin,alpha,window_start,window_end
0,337.54663406581153,180,1.0,12.077325140761374,2017-08-01,2017-08-07
1,325.6533070678169,184,1.0,10.803807488812767,2017-08-02,2017-08-08
2,400.1578835001126,224,1.0,10.409720269381733,2017-08-03,2017-08-09
3,48.27268706650298,254,2.0,3.38026425946997,2017-08-04,2017-08-10
4,60.32395069391538,278,2.0,3.632502973518569,2017-08-05,2017-08-11
5,67.76343465346119,256,2.0,4.356913156787985,2017-08-06,2017-08-12
6,76.83852795210947,264,2.0,4.5676178749163725,2017-08-07,2017-08-13
7,97.84602913156414,275,2.0,5.246935673113307,2017-08-08,2017-08-14
8,107.25205739912526,307,2.0,5.257398846375602,2017-08-09,2017-08-15
9,110.5228315490966,314,2.0,5.5482812560531505,2017-08-10,2017-08-16
10,117.90344904978872,356,2.0,5.553558686165038,2017-08-11,2017-08-17
11,135.86267173800474,376,2.0,5.831874855189936,2017-08-12,2017-08-18
12,114.0615107996399,400,2.0,4.900763639907877,2017-08-13,2017-08-19
13,95.94078415922016,409,2.0,4.171395153811265,2017-08-14,2017-08-20
14,113.85429303246848,424,2.0,4.44992467349018,2017-08-15,2017-08-21
15,143.90230621851833,462,2.0,4.918478396202949,2017-08-16,2017-08-22
16,163.57971051251968,491,2.0,4.862625040213325,2017-08-17,2017-08-23
17,131.42749659444294,503,2.0,4.162703003371849,2017-08-18,2017-08-24
18,156.44034052871712,594,2.0,4.388645339632234,2017-08-19,2017-08-25
19,316.69617747163915,835,2.0,6.186114642432897,2017-08-20,2017-08-26
20,385.3441955062333,944,2.0,6.523969764948688,2017-08-21,2017-08-27
21,402.0824666880533,1008,2.0,6.541061169081829,2017-08-22,2017-08-28
22,397.1129548406247,1025,2.0,6.550844888614139,2017-08-23,2017-08-29
23,401.8090779242334,1005,2.0,7.0004499175774955,2017-08-24,2017-08-30
24,408.94112396004203,997,2.0,7.061679710159361,2017-08-25,2017-08-31
25,419.7312284290648,1039,2.0,7.605219701213052,2017-08-26,2017-09-01
26,354.36447443160364,1122,2.0,6.455392791638349,2017-08-27,2017-09-02
27,323.8161530290411,1279,2.0,6.174168761163381,2017-08-28,2017-09-03
28,229.6253815967715,1472,2.0,4.8003886736647505,2017-08-29,2017-09-04
29,5472.33781001915,1916,1.0,22.52394042807665,2017-08-30,2017-09-05
30,6363.124976038414,2147,1.0,24.25385052052434,2017-08-31,2017-09-06
31,7833.716837785866,2586,1.0,25.355839638089684,2017-09-01,2017-09-07
32,9290.051345545096,3076,1.0,24.754569602822418,2017-09-02,2017-09-08
33,9544.72211145641,3120,1.0,25.81135324702275,2017-09-03,2017-09-09
34,10121.795964282699,3457,1.0,22.10957795952951,2017-09-04,2017-09-10
35,11437.719201003212,3922,1.0,21.546609653236207,2017-09-05,2017-09-11
36,13110.862883119193,4342,1.0,23.5952784564935,2017-09-06,2017-09-12
37,15682.55204886169,4938,1.0,27.217193163213693,2017-09-07,2017-09-13
38,17607.74430520809,5315,1.0,30.893319936401706,2017-09-08,2017-09-14
39,18376.741046310057,5369,1.0,34.17343057319861,2017-09-09,2017-09-15
40,18899.228539420536,5435,1.0,35.94572673739953,2017-09-10,2017-09-16
41,19075.540354054552,5468,1.0,36.30703727246174,2017-09-11,2017-09-17
42,16985.670956264497,5059,1.0,32.232570561030684,2017-09-12,2017-09-18
43,13047.282237758493,4380,1.0,22.84274957736927,2017-09-13,2017-09-19
44,797.3137259795333,3760,2.0,5.267178292076047,2017-09-14,2017-09-20
45,799.8533452567235,2986,2.0,5.25279480245019,2017-09-15,2017-09-21
46,742.2941988196562,2372,2.0,5.280086148774635,2017-09-16,2017-09-22
47,740.9211322118126,2074,2.0,5.582713302492158,2017-09-17,2017-09-23
48,108.9904771082704,1484,3.0,2.7700714365492267,2017-09-18,2017-09-24
49,490.82072244968305,1193,2.0,5.821722155313794,2017-09-19,2017-09-25
50,71.25444751364574,1114,3.0,2.7279433268825075,2017-09-20,2017-09-26
51,51.68315987263651,1090,3.0,2.527248397898509,2017-09-21,2017-09-27
52,21.43958571772467,1139,4.0,2.1900176406455363,2017-09-22,2017-09-28
53,77.25642929819692,1487,3.0,2.55747405478463,2017-09-23,2017-09-29
54,99.46843486545826,1699,3.0,2.639158284629073,2017-09-24,2017-09-30
55,111.46676961772708,1940,3.0,2.6325144243376117,2017-09-25,2017-10-01
56,119.11273486623259,2159,3.0,2.5512032818242596,2017-09-26,2017-10-02
57,130.6408583501085,2258,3.0,2.555837173681292,2017-09-27,2017-10-03
58,58.13275652822687,2302,4.0,2.2158146155637546,2017-09-28,2017-10-04
59,135.29967385603643,2160,3.0,2.683550802776695,2017-09-29,2017-10-05
60,41.54665358181178,1939,4.0,2.240066230952378,2017-09-30,2017-10-06
61,94.60381871140811,1836,3.0,2.6677453441394023,2017-10-01,2017-10-07
62,30.92132163431451,1743,4.0,2.207612371405424,2017-10-02,2017-10-08
63,37.07032496565087,1621,4.0,2.3571175637679467,2017-10-03,2017-10-09
64,38.244144873558724,1576,4.0,2.4203426396471075,2017-10-04,2017-10-10
65,35.816157007929206,1572,4.0,2.383884068906859,2017-10-05,2017-10-11
66,18.62522852081343,1605,6.0,2.306930661114864,2017-10-06,2017-10-12
67,94.2677613707788,1569,3.0,2.809028517124765,2017-10-07,2017-10-13
68,34.51498192064575,1512,4.0,2.309891740498672,2017-10-08,2017-10-14
69,110.48129875596908,1723,3.0,2.7036874882495923,2017-10-09,2017-10-15
70,102.48445581464438,1683,3.0,2.6755343089051755,2017-10-10,2017-10-16
71,76.24118029764843,1570,3.0,2.4681736733986375,2017-10-11,2017-10-17
72,84.36427374227932,1536,3.0,2.5649462571983683,2017-10-12,2017-10-18
73,712.5202740170129,1541,2.0,6.680509368753893,2017-10-13,2017-10-19
74,698.8889291394744,1461,2.0,6.95596483268229,2017-10-14,2017-10-20
75,700.5198918461219,1368,2.0,7.10682279403868,2017-10-15,2017-10-21
76,410.7606345168559,1157,2.0,6.0607022974724245,2017-10-16,2017-10-22
77,391.5846994618163,1026,2.0,5.965599079726159,2017-10-17,2017-10-23
78,398.6963762349433,1014,2.0,5.938257255885041,2017-10-18,2017-10-24
79,355.991480811998,945,2.0,5.817312866760965,2017-10-19,2017-10-25
80,331.5452279464333,909,2.0,5.962464165861586,2017-10-20,2017-10-26
81,410.1912999012711,985,2.0,6.555385613101434,2017-10-21,2017-10-27
82,426.20114221505116,968,2.0,6.915984375669725,2017-10-22,2017-10-28
83,410.6776312402587,953,2.0,6.860295703756638,2017-10-23,2017-10-29
84,416.784656156025,946,2.0,7.197657095911378,2017-10-24,2017-10-30
85,388.83485638049837,936,2.0,7.066907868530193,2017-10-25,2017-10-31
86,389.96631715317716,923,2.0,7.632222065846035,2017-10-26,2017-11-01
87,421.0229086560984,916,2.0,7.865147630156303,2017-10-27,2017-11-02
88,338.48439311880543,834,2.0,7.617249838480715,2017-10-28,2017-11-03
89,331.8012802481819,832,2.0,7.368669170709644,2017-10-29,2017-11-04
90,344.85783497194257,830,2.0,7.415002542038335,2017-10-30,2017-11-05
91,367.32678940310393,860,2.0,6.965560022921711,2017-10-31,2017-11-06
92,360.3635201060439,797,2.0,6.979837540547429,2017-11-01,2017-11-07
93,334.0267838499423,778,2.0,6.602309629089128,2017-11-02,2017-11-08
94,330.66772711398164,743,2.0,7.074377410831904,2017-11-03,2017-11-09
